ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"50.96.204.3","elite","AS7029","US","Windstream Communications LLC","115","Windstream Communications LLC","18351","socks4","4695","1","2023-07-28T11:16:40.639Z","100","3117","3126"
"64.225.28.9","elite","AS14061","US","DigitalOcean, LLC","80","DigitalOcean, LLC","52700","socks5","4303","1","2023-07-28T11:16:40.641Z","29","855","2977"
"173.236.188.26","elite","AS26347","US","New Dream Network, LLC","80","New Dream Network, LLC","54262","socks5","4802","2","2023-07-28T11:16:38.244Z","100","3032","3034"
"149.20.253.217","elite","AS18615","US","Mainstream Fiber Networks, LLC","101","Mainstream Fiber Networks, LLC","12551","socks4","1809","1","2023-07-28T11:16:33.744Z","100","3088","3094"
"38.127.172.200","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","11537","socks4","4695","1","2023-07-28T11:16:31.641Z","100","3055","3055"
"50.96.204.51","elite","AS7029","US","Windstream Communications LLC","185","Windstream Communications LLC","18351","socks4","5004","1","2023-07-28T11:16:31.642Z","100","3093","3102"
"45.86.66.145","elite","AS35913","US","DediPath","145","DediPath LLC","8089","socks5","4792","82","2023-07-28T11:16:31.835Z","70","2194","3117"
"45.196.144.152","elite","AS7018","US","AT&T Services","82","AQUA Networks Limited","5432","socks4","2801","82","2023-07-28T11:16:25.649Z","98","2993","3057"
"104.21.64.208","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","2789","2","2023-07-28T11:16:25.743Z","100","3011","3012"
"50.250.56.129","elite","AS7015","US","Comcast Cable Communications, LLC","106","Comcast Cable Communications, LLC","48380","socks4","3787","1","2023-07-28T11:16:23.637Z","100","3120","3127"
"38.127.172.42","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","46656","socks5","4391","1","2023-07-28T11:16:23.533Z","100","3047","3049"
"45.56.112.189","elite","AS63949","US","Akamai Technologies, Inc.","98","Linode","7497","socks5","3982","1","2023-07-28T11:16:23.641Z","100","3054","3056"
"104.18.220.95","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","3502","1","2023-07-28T11:16:23.638Z","100","3059","3059"
"45.60.186.208","elite","AS19551","US","Incapsula Inc","15","Incapsula Inc","27488","socks5","4799","1","2023-07-28T11:16:19.240Z","100","2987","2987"
"192.154.246.96","elite","AS64200","US","Vivid-hosting LLC","145","Vivid-hosting LLC","9000","socks5","3305","1","2023-07-28T11:16:14.835Z","100","3095","3102"
"172.67.192.25","elite","AS13335","US","Cloudflare, Inc.","81","Cloudflare, Inc.","80","socks5","4800","1","2023-07-28T11:16:12.251Z","100","3028","3028"
"45.196.151.73","elite","AS7018","US","AT&T Services","82","AQUA Networks Limited","5432","socks4","5089","78","2023-07-28T11:16:06.347Z","97","2956","3038"
"173.230.147.173","elite","AS63949","US","Akamai Technologies, Inc.","186","Linode","19527","socks4","5100","1","2023-07-28T11:16:00.137Z","100","3130","3133"
"166.62.59.87","elite","AS26496","US","GoDaddy.com, LLC","197","GoDaddy.com, LLC","32077","socks4","4504","1","2023-07-28T11:16:00.135Z","100","3041","3047"
"38.127.179.219","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","46656","socks5","3897","1","2023-07-28T11:16:00.440Z","100","3042","3043"
"50.62.57.97","elite","AS26496","US","GoDaddy.com, LLC","165","GoDaddy.com, LLC","43879","socks4","5089","1","2023-07-28T11:15:53.716Z","100","2989","2991"
"104.16.25.216","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4999","1","2023-07-28T11:15:43.722Z","100","3074","3074"
"192.210.196.222","elite","AS36352","US","ColoCrossing","180","RackNerd LLC","10800","socks4","4792","1","2023-07-28T11:15:41.836Z","98","2981","3055"
"66.33.213.3","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","15891","socks5","4706","1","2023-07-28T11:15:41.839Z","100","3085","3091"
"104.21.102.95","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4797","1","2023-07-28T11:15:39.142Z","100","3115","3115"
"104.27.37.131","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4997","1","2023-07-28T11:15:34.040Z","100","3042","3043"
"75.119.205.179","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","23456","socks4","4509","1","2023-07-28T11:15:34.037Z","100","3042","3042"
"192.163.252.85","elite","AS46606","US","Unified Layer","191","Unified Layer","52119","socks5","4793","1","2023-07-28T11:15:34.038Z","100","3094","3109"
"137.184.42.134","elite","AS14061","US","DigitalOcean, LLC","197","DigitalOcean, LLC","12544","socks4","1585","1","2023-07-28T11:15:31.250Z","99","3026","3049"
"74.208.65.165","elite","AS8560","US","IONOS SE","108","IONOS Inc","14548","socks4","4990","1","2023-07-28T11:15:27.541Z","99","3022","3062"
"64.90.52.19","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","55552","socks4","5098","1","2023-07-28T11:15:24.450Z","100","3057","3059"
"104.20.75.31","elite","AS13335","US","Cloudflare, Inc.","83","Cloudflare, Inc.","80","socks4","4600","1","2023-07-28T11:15:19.342Z","100","3129","3129"
"192.169.244.80","elite","AS26496","US","GoDaddy.com, LLC","135","GoDaddy.com, LLC","33121","socks5","4113","1","2023-07-28T11:15:16.349Z","99","2980","3013"
"104.18.103.125","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5082","1","2023-07-28T11:15:10.934Z","100","3033","3033"
"161.35.179.193","elite","AS14061","US","DigitalOcean, LLC","100","DigitalOcean, LLC","59761","socks5","4595","1","2023-07-28T11:15:08.649Z","99","2989","3009"
"192.241.129.169","elite","AS14061","US","DigitalOcean, LLC","84","Digital Ocean","5566","socks4","2803","1","2023-07-28T11:15:06.137Z","65","1952","3015"
"75.119.204.161","elite","AS26347","US","New Dream Network, LLC","182","New Dream Network, LLC","7028","socks5","4387","1","2023-07-28T11:15:03.350Z","100","3074","3076"
"34.120.231.30","elite","AS396982","US","Google LLC","81","Google Cloud","80","socks4","2295","1","2023-07-28T11:15:03.440Z","100","2999","2999"
"75.119.201.151","elite","AS26347","US","New Dream Network, LLC","190","New Dream Network, LLC","15745","socks5","4193","82","2023-07-28T11:15:03.439Z","100","3117","3118"
"5.161.109.187","elite","AS213230","US","Hetzner Online GmbH","88","HETZNER-DC","30153","socks4","4696","2","2023-07-28T11:15:00.641Z","46","1406","3031"
"136.143.144.187","elite","AS13370","US","LocalTel Communications","156","LocalTel Communications","5678","socks4","795","1","2023-07-28T11:14:56.943Z","96","2911","3020"
"159.223.163.11","elite","AS14061","US","DigitalOcean, LLC","87","DigitalOcean, LLC","48436","socks5","4502","1","2023-07-28T11:14:54.141Z","80","2497","3115"
"155.138.238.14","elite","AS20473","US","The Constant Company","95","Vultr Holdings, LLC","808","socks5","4706","1","2023-07-28T11:14:52.314Z","100","3080","3082"
"66.152.171.75","elite","AS35916","US","Multacom Corporation","188","Multacom Corporation","59057","socks5","3994","1","2023-07-28T11:14:51.533Z","88","2724","3085"
"104.19.83.128","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5000","1","2023-07-28T11:14:49.038Z","100","3012","3012"
"75.119.202.168","elite","AS26347","US","New Dream Network, LLC","199","New Dream Network, LLC","32524","socks4","5004","1","2023-07-28T11:14:49.040Z","100","3079","3081"
"45.196.148.192","elite","AS7018","US","AT&T Services","100","AQUA Networks Limited","5432","socks4","4806","1","2023-07-28T11:14:46.248Z","98","3004","3072"
"66.33.211.151","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","17567","socks4","4994","1","2023-07-28T11:14:43.620Z","100","3069","3078"
"104.24.220.52","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5007","1","2023-07-28T11:14:43.549Z","100","3021","3021"
"184.178.172.13","elite","AS22773","US","Cox Communications Inc.","151","Cox Communications Inc.","15311","socks5","4796","1","2023-07-28T11:14:43.621Z","100","3007","3014"
"203.23.103.127","elite","AS209242","US","Cloudflare London","11","Umpire Associates LTD","80","socks4","4989","89","2023-07-28T11:14:43.644Z","100","3085","3085"
"67.205.162.56","elite","AS14061","US","DigitalOcean, LLC","83","Digital Ocean","10605","socks4","4906","1","2023-07-28T11:14:35.939Z","90","2753","3046"
"149.20.253.100","elite","AS18615","US","Mainstream Fiber Networks, LLC","102","Mainstream Fiber Networks, LLC","12551","socks4","4795","1","2023-07-28T11:14:33.430Z","100","3107","3113"
"64.90.48.27","elite","AS26347","US","New Dream Network, LLC","190","New Dream Network, LLC","24650","socks5","4890","1","2023-07-28T11:14:26.337Z","100","3106","3106"
"75.119.205.218","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32238","socks5","4906","1","2023-07-28T11:14:26.339Z","100","3120","3121"
"104.20.123.164","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5005","1","2023-07-28T11:14:23.400Z","100","3065","3067"
"64.90.50.227","elite","AS26347","US","New Dream Network, LLC","186","New Dream Network, LLC","55552","socks5","4808","1","2023-07-28T11:14:19.049Z","100","3059","3059"
"70.32.25.146","elite","AS55293","US","A2 Hosting, Inc.","95","A2 Hosting, Inc.","36546","socks4","4599","1","2023-07-28T11:14:16.139Z","100","3001","3003"
"75.119.201.156","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","15745","socks4","5097","1","2023-07-28T11:14:12.936Z","100","3090","3090"
"74.207.251.162","elite","AS63949","US","Akamai Technologies, Inc.","192","Linode","62322","socks5","4508","1","2023-07-28T11:14:12.746Z","97","2944","3022"
"104.19.124.112","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3603","1","2023-07-28T11:14:08.534Z","100","3054","3054"
"104.18.65.115","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","2105","socks4","5100","1","2023-07-28T11:14:08.540Z","100","3054","3054"
"104.21.119.177","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","808","1","2023-07-28T11:14:08.542Z","100","3126","3128"
"143.244.149.59","elite","AS14061","US","DigitalOcean, LLC","83","DigitalOcean, LLC","35887","socks5","4216","1","2023-07-28T11:14:02.705Z","100","3029","3039"
